[00:08:31] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/128426, l='world', x=68.17, y=67.00, z=326.83]
[00:08:31] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/128426, l='world', x=68.17, y=67.00, z=326.83]
[00:08:31] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/128426, l='world', x=68.17, y=67.00, z=326.83]
[00:14:26] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/129348, l='world', x=68.17, y=67.00, z=327.81]
[00:14:26] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/129348, l='world', x=68.17, y=67.00, z=327.81]
[00:15:31] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/129532, l='world', x=66.27, y=67.00, z=329.17]
[00:15:31] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/129532, l='world', x=66.27, y=67.00, z=329.17]
[00:18:25] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/130186, l='world', x=67.54, y=67.00, z=327.56]
[00:18:25] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/130186, l='world', x=67.54, y=67.00, z=327.56]
[00:20:15] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/130722, l='world', x=65.83, y=67.00, z=329.17]
[00:23:43] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/131481, l='world', x=66.66, y=67.00, z=328.51]
[00:24:57] [Server thread/INFO]: john fell from a high place
[00:27:23] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/132480, l='world', x=65.83, y=67.00, z=328.33]
[00:28:19] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/132695, l='world', x=67.74, y=67.00, z=328.80]
[00:28:27] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/132724, l='world', x=67.70, y=67.00, z=327.85]
[00:35:46] [Server thread/WARN]: Fetching packet for removed entity atx['Air'/134277, l='world', x=66.33, y=67.00, z=327.17]
